US1NJGL0001,20160101,PRCP,0,,,N,
US1NJGL0001,20160101,SNOW,0,,,N,
CA1AB000023,20160101,PRCP,0,,,N,
CA1AB000023,20160101,SNOW,0,,,N,
CA1AB000023,20160101,SNWD,102,,,N,
US1NJES0019,20160101,PRCP,0,,,N,
US1NJES0019,20160101,SNOW,0,,,N,
ASN00015643,20160101,TMAX,308,,,a,
ASN00015643,20160101,TMIN,186,,,a,
ASN00015643,20160101,PRCP,0,,,a,
US1NCCR0043,20160101,PRCP,79,,,N,
ASN00085296,20160101,TMAX,338,,,a,
ASN00085296,20160101,TMIN,242,,,a,
ASN00085296,20160101,PRCP,0,,,a,
ASN00085280,20160101,TMAX,347,,,a,
ASN00085280,20160101,TMIN,159,,,a,
ASN00085280,20160101,PRCP,0,,,a,
ASN00040209,20160101,TMAX,285,,,a,
ASN00040209,20160101,TMIN,218,,,a,
ASN00040209,20160101,PRCP,1,,,a,
US1NCBC0113,20160101,PRCP,5,,,N,
US1MTMH0019,20160101,PRCP,0,,,N,
US1MTMH0019,20160101,SNOW,0,,,N,
US1MTMH0019,20160101,SNWD,165,,,N,
US1MTMH0019,20160101,WESD,269,,,N,
US1MNWR0029,20160101,PRCP,0,,,N,
US1MNCV0008,20160101,PRCP,0,T,,N,
US1MNCV0008,20160101,SNOW,0,T,,N,
US1MNCV0008,20160101,SNWD,127,,,N,
US1MISW0005,20160101,PRCP,3,,,N,
US1MISW0005,20160101,SNOW,5,,,N,
US1MISW0005,20160101,SNWD,13,,,N,
CA007020860,20160101,TMAX,-10,,,C,
CA007020860,20160101,TMIN,-50,,,C,
CA007020860,20160101,PRCP,20,,,C,
CA007020860,20160101,SNOW,20,,,C,
CA007020860,20160101,SNWD,250,,,C,
CA007020860,20160101,TAVG,-30,,,C,
US1LAEB0041,20160101,PRCP,64,,,N,
ASN00009661,20160101,PRCP,0,,,a,
US1KSSG0097,20160101,PRCP,0,,,N,
US1KSSG0097,20160101,SNOW,0,,,N,
ASN00078001,20160101,PRCP,0,,,a,
US1KSGO0009,20160101,PRCP,0,,,N,
US1KSGO0009,20160101,SNOW,0,,,N,
ASN00014814,20160101,PRCP,0,,,a,
US1KSEL0074,20160101,PRCP,0,,,N,
US1INWN0004,20160101,PRCP,0,,,N,
US1INNW0001,20160101,PRCP,0,T,,N,
US1INNW0001,20160101,SNOW,0,T,,N,
